index,Year Built,lat,lng
269904,1999.0,61.11608707028766, -149.774707918713
269905,1999.0,61.116599148536, -149.78312366055803
269906,2003.0,61.10603633793301, -149.84317625730102
269907,1998.0,60.947780870727534, -149.171431056188
269908,1951.0,61.11627675099147, -149.787335880373
269909,1996.0,61.117126871236586, -149.787096672854
269910,2014.0,61.11825676159645, -149.78838253843603
269911,1974.0,61.118818182955664, -149.78900852319902
269912,1963.0,61.11929710938021, -149.78843241225
269913,1961.0,61.11934603651912, -149.787853001737
269914,1963.0,61.11934060849816, -149.786984053915
269915,1964.0,61.119320735049705, -149.786361832139
269916,1976.0,61.11935199443455, -149.785302428705
269917,1977.0,60.96132805633282, -149.11037319269198
269918,1968.0,61.19957585523001, -149.845924854863
269919,1976.0,61.11909871466679, -149.784167675546
269920,1976.0,61.11886599811946, -149.784131204366
269921,1977.0,61.11884053895818, -149.783715811393
269922,1973.0,61.17122419499108, -149.846197985715
269923,1972.0,61.17084372747775, -149.84619121166
269924,1968.0,61.1993209550429, -149.846388034896
269925,1974.0,61.11894406237281, -149.78353602194
269926,1979.0,61.11920862780863, -149.783814153809
269927,1954.0,61.11916377858023, -149.78209636725902
269928,1972.0,61.11664007189184, -149.77750741451
269929,1974.0,61.11685109637035, -149.777881442925
269930,2006.0,61.30114277629911, -149.49421056333202
269931,1998.0,60.962502060880354, -149.122961442704
269932,1983.0,61.16626075891605, -149.84405417849598
269933,1969.0,61.19932075977626, -149.847073973757
269934,1976.0,61.1173405494854, -149.777483581919
269935,1972.0,61.11739763549523, -149.777207247712
269936,1984.0,61.117321772694034, -149.776915886143
269937,1983.0,61.11713770602515, -149.776902068362
269938,1950.0,61.116841441957526, -149.776605490985
269939,1958.0,61.11711728756945, -149.77471698537198
269940,1972.0,61.17069664025407, -149.84618859733
269941,1976.0,61.11747665226064, -149.774709242515
269942,1971.0,61.11777147575004, -149.77467531351303
269943,1976.0,61.11800943479755, -149.776645693165
269944,1966.0,60.96008785568588, -149.11426866190902
269945,1979.0,61.118019803870304, -149.77734988853098
269946,2003.0,61.11817645318701, -149.785332076852
269947,1998.0,61.11751176328678, -149.785060560027
269948,2020.0,61.117189595511896, -149.782122628735
269949,1984.0,61.1193537942046, -149.781277699478
269950,1984.0,61.11934615544865, -149.78046488850802
269951,1986.0,61.11934648605215, -149.77952780341002
269952,1972.0,60.95385333744829, -149.162346666468
269953,1971.0,60.9555766777707, -149.117372605872
269954,1990.0,61.1193434604887, -149.778608317658
269955,1983.0,61.138097852706345, -149.956177681816
269956,2004.0,61.12083997385034, -149.93426866065
269957,2018.0,61.106352606642304, -149.856194146962
269958,1982.0,61.19932066590146, -149.84740321759998
269959,1992.0,61.11806685783967, -149.781604297023
269960,2003.0,61.117750355996016, -149.779389499848
269961,2019.0,60.96388012059621, -149.109312779571
269962,2008.0,61.11849713130184, -149.782093993762
269963,2020.0,61.14108197313583, -149.99001287105
269964,2007.0,61.11788450668573, -149.78211784579202
269965,2013.0,61.11933895253329, -149.777669521957
269966,1991.0,61.11818418497797, -149.77642994899398
269967,2016.0,61.11924528941829, -149.776168059517
269969,2017.0,61.11757224996855, -149.77938583277
269970,1975.0,61.093123346781, -149.821092049859
269971,1971.0,61.1224942830886, -149.766736051337
269972,1970.0,61.1228315917048, -149.765678355947
269973,2002.0,60.94111902557383, -149.16750413125303
269974,1976.0,61.1228322364726, -149.764980869531
269975,1976.0,61.12271543753831, -149.76349644640302
269976,1994.0,61.13695345782952, -149.97574164270102
269977,1977.0,61.1028563317665, -149.812546216485
269978,1981.0,61.10333302271472, -149.716672401413
269979,1979.0,61.10399260942152, -149.839886209506
269980,1985.0,61.13886721996474, -149.82321583288302
269981,1966.0,61.12217569215295, -149.762685331416
269982,1979.0,61.12282598691549, -149.761409249752
269983,1967.0,61.122820830933584, -149.76071112843402
269984,1979.0,61.122751641897096, -149.759731161763
269985,1966.0,61.121993144508274, -149.75967608330902
269986,1985.0,60.94986565901005, -149.12721769265102
269987,1984.0,60.95895588548142, -149.114314439688
269988,2004.0,61.12090349380638, -149.934132201674
269989,1983.0,61.18836956292319, -149.950122288435
269990,1997.0,61.12148679716277, -149.760436994232
269991,1974.0,61.12174781834306, -149.766713348935
269992,1988.0,60.94982451105056, -149.125492920982
269993,1984.0,60.96193736524693, -149.109571637298
269994,1974.0,61.12198502080655, -149.763892713151
269995,1981.0,61.121981134434776, -149.762915703593
269996,2006.0,60.96467731324235, -149.13075538096
269997,1983.0,60.9586247146169, -149.114959529676
269998,1963.0,61.19932056852882, -149.847744667624
269999,1995.0,61.12103752554268, -149.764197411722
270000,1984.0,61.16116181798133, -149.957194454569
270001,1992.0,61.13674569708338, -149.977927728158
270002,1984.0,61.12103363603638, -149.76540919276698
270003,1981.0,61.10151684458079, -149.814675007129
270004,1994.0,61.10692116002763, -149.820547031886
270005,1965.0,61.18896453523283, -149.73650673841502
270006,2009.0,61.30281776897976, -149.495805495655
270007,1968.0,61.19932046846779, -149.84808204704302
270008,1972.0,61.12137808123082, -149.76671183259
270009,1974.0,61.121042265937305, -149.759686215811
270010,1973.0,60.961553537487845, -149.109152597724
270011,1983.0,61.12062564163973, -149.759665502388
270012,1973.0,61.17037740341397, -149.84628066548
270013,1973.0,61.1197793048044, -149.759660476879
270014,1995.0,60.9617508498259, -149.126232801902
270015,1974.0,61.11970454063278, -149.761690680848
270016,1972.0,61.120178567403855, -149.761729254538
270017,1972.0,61.1206068094772, -149.76172198158503
270018,1973.0,61.12128613800283, -149.761142877274
270019,1961.0,61.12060270842971, -149.762166342695
270020,2011.0,61.12039084369065, -149.762186376425
270021,1972.0,61.11954999044884, -149.76283530539598
270022,1972.0,61.19940444972686, -149.848910700466
270023,1970.0,61.19075069176744, -149.736933544761
270024,1976.0,61.13587707808532, -149.98097740053
270025,1971.0,61.10711333559065, -149.84045938689502
270026,1983.0,61.101548922391984, -149.837222954639
270027,1957.0,61.1883755977352, -149.737278926103
270028,1976.0,61.13593449754404, -149.981345849033
270029,1978.0,61.11437362220236, -149.87645379020003
270030,1982.0,61.102530033553634, -149.835538220764
270031,1997.0,61.119550475964544, -149.76361276471698
270032,1972.0,61.120287179657694, -149.76420216473002
270033,2005.0,61.29915102567208, -149.504696456781
270034,1976.0,61.12082187265234, -149.763793446663
270035,1975.0,61.12017135363636, -149.764619890037
270036,1972.0,61.11955386593274, -149.766126329057
270037,1973.0,61.119548610128106, -149.76535666950198
270038,1981.0,61.12019463745676, -149.76672865333302
270039,1972.0,61.12082206424904, -149.76516828880503
270040,2009.0,61.12259509749624, -149.770433730214
270041,1950.0,61.12285475973539, -149.77361773490003
270042,1979.0,61.11956257363995, -149.71639750306002
270043,2002.0,61.12016225495821, -149.71700260517602
270044,1982.0,61.120553607045984, -149.71712418412002
270045,1983.0,61.1205336595249, -149.714961238285
270046,1979.0,61.12018350271429, -149.714920868987
270047,1975.0,61.12201406938007, -149.71573453621
270048,1975.0,61.12258366056131, -149.715971493463
270049,1998.0,61.1230960957189, -149.71597499928401
270050,1973.0,61.12308798889982, -149.716383846445
270051,1995.0,61.122658464559095, -149.716419333361
270052,1984.0,61.12259640750342, -149.718415305866
270053,1968.0,61.19956190084429, -149.848844181141
270054,1987.0,61.12308851182544, -149.718457117908
270055,1976.0,61.199046107169565, -149.757480694158
270056,1991.0,61.10439845553464, -149.819474089539
270057,2011.0,60.96245812430373, -149.123398554025
270058,1983.0,61.12267451175136, -149.71885440697102
270059,1999.0,61.12227072141892, -149.718688880297
270060,1972.0,61.170289470947736, -149.84700795310502
270061,1972.0,61.136290601147245, -149.97222628556702
270062,1984.0,61.10313558618893, -149.830611936753
270063,1978.0,61.103973205714034, -149.880927729105
270064,1981.0,61.121398304678, -149.71810377469902
270065,1981.0,61.12113985370468, -149.71794466034402
270066,1982.0,61.1207369823531, -149.717693110641
270067,1978.0,61.10314235401733, -149.787891276066
270068,1981.0,61.12013466167282, -149.71741653078598
270069,2004.0,61.11978695806848, -149.717374184515
270070,1964.0,61.19954321997882, -149.849222647506
270071,1983.0,61.11955651246075, -149.71883133599502
270072,1999.0,61.12057207319857, -149.719914159083
270073,2005.0,61.120957050302586, -149.72016215574
270074,1984.0,61.12132005367933, -149.72041243371902
270075,1978.0,61.12171405221686, -149.72069238971503
270076,1971.0,61.1227528516698, -149.721389101969
270077,2000.0,61.12230738263822, -149.721261112231
270078,1973.0,61.17028639033743, -149.847801489191
270079,1975.0,61.12182176719613, -149.721216219983
270080,1968.0,61.12163237306354, -149.721114472105
270081,1967.0,61.11955139882664, -149.721397132655
270082,1982.0,61.12093663631406, -149.717376219013
270083,1999.0,61.12143769073974, -149.717691226678
270084,1975.0,61.12185713602934, -149.716098385507
270085,1994.0,60.95684307092547, -149.156630875974
270086,1975.0,61.12102184565795, -149.715144922585
270087,1972.0,61.120364442981774, -149.722744098422
270088,1974.0,61.12083914109006, -149.72222937059303
270089,1984.0,61.11985998384706, -149.72241990127998
270090,1998.0,61.12055859181145, -149.720424470274
270091,2000.0,61.11977584336447, -149.719937638609
270092,1979.0,61.12051368592444, -149.721829327604
270093,2001.0,61.13843423933524, -149.828713803061
270094,1969.0,61.119036595365344, -149.744283099631
270095,1965.0,61.118041238390845, -149.733509921249
270096,1997.0,61.117899442157885, -149.72980296135302
270097,1999.0,61.1175171912021, -149.729686467922
270098,1965.0,61.11747682935048, -149.733451403271
270099,1973.0,61.17028608277688, -149.84816841525802
270100,1978.0,61.134847263612, -149.969341454197
270101,1977.0,61.13488784159802, -149.96892565599302
270102,1985.0,60.95572899454274, -149.115527130297
270103,1970.0,61.1993604117148, -149.84931293303399
270104,1970.0,61.11755962893968, -149.737341319252
270105,1962.0,61.19057967433462, -149.73708604621498
270106,2006.0,61.13339945389297, -149.95389750940998
270107,1978.0,61.11443827318437, -149.876454205104
270108,2017.0,61.1168984346668, -149.73348151850303
270109,2003.0,61.11647896381807, -149.736848596446
270110,2013.0,61.17354026213263, -149.837580157258
270111,1981.0,61.13318683946557, -149.954089283582
270112,1974.0,61.10731344028451, -149.838576195079
270113,1965.0,61.19921630965865, -149.849384097097
270114,1998.0,61.10693139758919, -149.846832795947
270115,1967.0,61.19905656182047, -149.849466679494
270116,1974.0,61.11894859670191, -149.736807430454
270117,2003.0,61.18123084602366, -149.76937285036402
270118,1977.0,61.11833473738935, -149.740570992891
270119,1968.0,61.11774425205834, -149.737314046783
270120,1975.0,61.117265244960016, -149.74214746546
270121,1979.0,60.96133020190344, -149.15056414071898
