,Unnamed: 0,index,Year Built,lat,lng
50332,50332,50332,1936,61.110029068215,-149.780899670628
52785,52785,52785,1938,61.21702192445932,-149.905899024134
53124,53124,53124,1938,61.114726317721,-149.837927478068
60042,60042,60042,1938,61.0878283635,-149.836307606464
63835,63835,63835,1940,61.214696306596814,-149.90101765136302
63912,63912,63912,1935,61.2162822161104,-149.899772386113
68453,68453,68454,1930,61.305351441255,-149.460532114866
69032,69032,69033,1940,61.283468358905,-149.493727215165
71616,71616,71617,1930,61.21530383045585,-149.90998608599398
72323,72323,72324,1936,61.354841252016,-149.538689428541
74279,74279,74280,1936,61.216537655733,-149.735934938126
81860,81860,81861,1940,61.182112771693,-149.76747797731
89200,89200,89201,1939,61.2151775056835,-149.90561163836102
89745,89745,89746,1940,61.184745604454,-149.916903913944
90752,90752,90753,1940,61.214696306596814,-149.90101765136302
90856,90856,90857,1940,61.18333428519,-149.916442114621
93786,93786,93787,1938,61.21702192445932,-149.905899024134
97702,97702,97703,1938,61.217021924459,-149.905899024134
97793,97793,97794,1930,61.215303830456,-149.909986085994
97946,97946,97947,1937,61.214692445315,-149.906538011361
97947,97947,97948,1931,61.215044189459,-149.905948353402
98028,98028,98029,1935,61.214889179497,-149.905611066482
98031,98031,98032,1939,61.215177505684,-149.905611638361
98051,98051,98052,1940,61.214696306597,-149.901017651363
98052,98052,98053,1935,61.21628221611,-149.899772386113
98116,98116,98117,1940,61.21009923869,-149.914090771804
98150,98150,98151,1939,61.211578343047,-149.91562396526
98157,98157,98158,1939,61.21157834304685,-149.91562396526
98225,98225,98226,1940,61.210185563587,-149.919839811376
98292,98292,98293,1939,61.212353842403,-149.899431610497
98494,98494,98495,1940,61.212365212765,-149.911695552779
98510,98510,98511,1940,61.211908033632,-149.910402640239
98527,98527,98528,1938,61.210734510007,-149.909995970513
98595,98595,98596,1940,61.208969211081,-149.899425130042
98602,98602,98603,1940,61.206881662626,-149.899420060064
98614,98614,98615,1930,61.207291490892,-149.899784446172
98620,98620,98621,1940,61.206523290395,-149.89978687011
100186,100186,100187,1936,61.197044873738,-149.928048258163
100737,100737,100738,1940,61.227678350219,-149.886932919499
100890,100890,100891,1936,61.220612986926,-149.892514863779
100891,100891,100892,1930,61.220919783971,-149.893639822713
100892,100892,100893,1940,61.221284005307,-149.893661996148
100974,100974,100975,1940,61.216997702846,-149.873243835094
100975,100975,100976,1940,61.216803836691,-149.873250372178
100976,100976,100977,1939,61.216665881015,-149.873709354969
100985,100985,100986,1939,61.219252536363,-149.873097879785
100996,100996,100997,1939,61.218666166071,-149.881854959685
