,Year Built,lat,lng
292487,1991,61.19128945618669,-149.953242746175
292510,1991,61.19135416591233,-149.953824265538
292511,1991,61.19135338372292,-149.954211692757
292528,1991,61.19135346045843,-149.954414910812
292529,1991,61.19135360618668,-149.954817277356
292533,1998,61.15417586642948,-149.987269943342
292549,1998,61.13873317586531,-149.82904779636002
292559,1993,61.15151045568444,-149.944860560344
292586,1997,61.1510010821936,-149.843736676858
292587,1997,61.15139414392647,-149.843630615132
292588,1998,61.15145334499483,-149.843602267409
292591,1997,61.15151100198124,-149.84361312826502
292592,1998,61.15159537967699,-149.843737197834
292623,1992,61.21858428103608,-149.762935194799
292655,1996,61.15134489287169,-149.945124384454
292672,1996,61.191188548345686,-149.755386124892
292677,1992,61.21844261763107,-149.760453710183
292721,1992,61.187760159726174,-149.773671656179
292724,1994,61.18773404960144,-149.77180515662502
292725,1993,61.18660756516817,-149.774559580072
292728,1991,61.18759523073548,-149.774917532909
292730,1997,61.136358468127625,-149.92262314340303
292732,1994,61.18706208936312,-149.773211459132
292734,1997,61.12911910231856,-149.73592468277903
292742,1992,61.18672563350943,-149.771547162929
292745,1996,61.186917703396965,-149.767215925871
292795,1996,61.18454611552685,-149.77013723602502
292858,1992,61.14390183766666,-149.804475648605
292877,1993,61.198441943534746,-149.92614670856702
292888,1994,61.14165140626445,-149.80865526818502
292905,1997,61.18768332111966,-149.728048632851
292977,1993,61.14244974212201,-149.822314685196
292983,1997,61.189869442622175,-149.934171628185
292994,1999,61.11835348504163,-149.93969148600402
292996,1997,61.11825310280827,-149.94168955015
292997,1998,61.11840231733109,-149.942086806943
292998,1997,61.11859259335907,-149.942416343262
293004,1993,61.194779904780745,-149.72025319873302
293085,1997,61.32199036078333,-149.55536131687802
293101,1992,61.13519463015642,-149.97744094083802
293119,1996,61.20689789411504,-149.909610399217
293149,1991,61.193690923135605,-149.7534442671
293162,1996,61.18867905624684,-149.93881400071902
293167,1996,61.1886056081016,-149.93872164476502
293174,1997,61.18854188038722,-149.938691912461
293183,1997,61.18848977885445,-149.938722623411
293184,1997,61.18839443293398,-149.938970621472
293186,1999,61.18596204310535,-149.910152631144
293187,1995,61.13995188429027,-149.832717637129
293188,1996,61.13978957497353,-149.832973957837
293189,1995,61.13966720272617,-149.833170790622
293196,1997,61.18844456394682,-149.93918102363298
293197,1997,61.21376102730266,-149.722031383092
293200,1994,61.14960848033442,-149.96700343785503
293203,1999,61.13850212207687,-149.826484035994
293215,1997,61.18861233877873,-149.939283184737
293218,1997,61.188768751880055,-149.939163838591
293241,1990,61.13897137179487,-149.82223591817302
293260,1995,61.19478235724053,-149.720698070351
293263,1997,61.13867826396884,-149.83265877436602
293264,1998,61.13802230140223,-149.832383722087
293299,1999,61.19465708878296,-149.760431845653
293315,1993,61.22225842827687,-149.7458663337
293332,1995,61.20689764855212,-149.909259296562
293342,1998,61.221337713295846,-149.744576663498
293385,1995,61.19032872225302,-149.748705711011
293398,1995,61.1389895342772,-149.807167054284
293399,1995,61.13880101186791,-149.807508275787
293429,1996,61.21163852798125,-149.79505411547203
293433,1997,61.212701051407535,-149.795059148449
293443,1993,61.18112119939248,-149.94325753186305
293467,1991,61.19651013450699,-149.788697119945
293502,1997,61.11902787659125,-149.94305512976402
293541,1995,61.19039555604221,-149.753044054505
293577,1998,61.195730584667565,-149.792603040877
293578,1993,61.18193968720518,-149.770673707675
293595,1996,61.19272202311303,-149.777596852675
293614,1999,61.22370181443106,-149.753798793128
293617,1999,61.22370181443106,-149.753798793128
293630,1990,61.14100748691602,-149.800557476602
293634,1990,61.14171594931998,-149.798677886492
293642,1993,61.20235308078664,-149.902671624554
293646,1999,61.15052577175548,-149.958083093763
293691,1991,61.14530845260192,-149.906503685145
293737,1998,61.223701164598765,-149.753426161403
293786,1991,61.19369118930064,-149.753589069524
293812,1994,61.18882076844,-149.950524952699
293834,1995,61.1905684903246,-149.95521816225303
293839,1992,61.21057977049301,-149.721507550994
293846,1999,61.18648675148363,-149.844533960168
293849,1995,61.190388339056426,-149.751902867517
293878,1992,61.191057855501,-149.952757096707
293891,1997,61.14256490015309,-149.998574239257
293893,1992,61.21078694174431,-149.72150763262002
293897,1995,61.19039269330563,-149.752590534651
293955,1997,61.11911148406455,-149.94334651135998
293959,1997,61.11906935453489,-149.943559463146
293960,1998,61.11896020787796,-149.943660649849
293961,1997,61.11880891263161,-149.943470483309
293967,1999,61.12454533483691,-149.799120791625
294001,1998,61.12393972110718,-149.723829164817
294015,1999,61.12809658735699,-149.716862328334
294023,1995,61.19039555604221,-149.753044054505
294048,1999,61.125249459745625,-149.735513192547
294057,1998,61.22370053928047,-149.75306905295702
294076,1998,61.22370053928047,-149.75306905295702
294117,1997,61.11789944215786,-149.72980296135302
294118,1999,61.1175171912021,-149.729686467922
294122,1993,61.20994104987531,-149.721507299263
294130,1993,61.19292340378299,-149.754188558321
294160,1999,61.18953475586687,-149.90275082900902
294181,1991,61.14447400893938,-149.906053078486
294195,1991,61.18764661241792,-149.774683368022
294216,1998,61.185928711418846,-149.910431381987
294274,1997,61.187290064713984,-149.727075255375
294276,1993,61.18751908031008,-149.773543683691
294277,1998,61.186010332715,-149.947467558285
294292,1990,61.130405217270734,-149.930149546529
294303,1999,61.10976637466054,-149.878544351166
294305,1995,61.18229856929179,-149.772079093937
294324,1998,61.18636154339275,-149.72919269273902
294359,1992,61.18314478888951,-149.77036775791603
294378,1990,61.11189882902781,-149.770016962812
294411,1998,61.186010332715,-149.947467558285
294433,1992,61.19276739094574,-149.75517984094
294448,1998,61.18564221846336,-149.902973857065
294461,1997,61.18464692819925,-149.94709711486502
294467,1993,61.18324352737202,-149.770303331216
294486,1994,61.18729688782816,-149.775542415228
294489,1990,61.11955540160203,-149.805760083975
294503,1996,61.11955251028337,-149.809462709847
294507,1995,61.169709261403774,-149.849478356889
294577,1997,61.11396305924169,-149.830119731915
294587,1998,61.11473065181245,-149.829475882773
294588,1997,61.11473156369302,-149.830139678268
294596,1999,61.115400717122256,-149.829003166492
294600,1991,61.18692558641269,-149.775207258647
294609,1990,61.181463763025,-149.943863880994
294659,1996,61.19107067319105,-149.749036091798
294670,1996,61.19438533496831,-149.931430702512
294726,1992,61.19877305917365,-149.863930233369
294743,1993,61.2151415596288,-149.755258427045
294745,1992,61.18733585528647,-149.773480918782
294756,1992,61.25898074359721,-149.292860860729
294782,1999,61.14192019788532,-150.00538404551
294808,1997,61.118658471859455,-149.94309438345002
294810,1992,61.20199509185244,-149.942798650739
294811,1998,61.11793550664525,-149.941339583687
294812,1998,61.11785294279951,-149.940935867271
294817,1998,61.11749348598357,-149.94034075802202
294818,1998,61.1173249081816,-149.93993509819398
294819,1998,61.11713077597167,-149.939670529587
294824,1999,61.117181996586005,-149.940136607091
294848,1995,61.18717304853482,-149.772958969866
294851,1997,61.13380092300837,-149.92858829026002
294871,1998,61.11697420241763,-149.939864210133
294913,1999,61.18337239948,-149.915414330724
294928,1997,61.11215676106476,-149.727943120472
294938,1993,61.19076741623167,-149.951340596515
294990,1990,61.12587549805126,-149.774599087336
295037,1999,61.20983560452288,-149.728285304507
295052,1997,61.18650742998544,-149.72768628242198
295093,1999,61.12622747783805,-149.839216269054
295094,1999,61.1262554785174,-149.838927990072
295095,1999,61.126333159062455,-149.83870783056702
295117,1994,61.21501571387559,-149.752493228644
295127,1999,61.1917759778333,-149.943612929124
295134,1993,61.174960497781,-149.934118933528
295152,1998,61.12555342512139,-149.850096698036
295153,1998,61.12555342512139,-149.850096698036
295178,1990,61.19584643704571,-149.744198755738
295201,1994,61.21506429551205,-149.752617902808
295234,1999,61.169947393644,-149.902329617552
295242,1999,61.29981241872362,-149.564372102636
295251,1996,61.1686028380532,-149.84650378586102
295265,1998,61.18508113827491,-149.954714097984
295281,1995,61.18170964234816,-149.946004164283
295325,1996,61.19581250530528,-149.744445446407
295367,1998,61.11865172637362,-149.94068852943502
295368,1998,61.11882154969423,-149.940988375673
295369,1998,61.118956576897205,-149.94136717082
295370,1998,61.11916122213939,-149.94179855702998
295371,1998,61.119361584053244,-149.941966228157
295383,1990,61.31551399112245,-149.50383457605102
295427,1994,61.21514295850882,-149.75266819393
295429,1993,61.13529885184917,-149.933357390001
295438,1992,61.11513253563306,-149.836968437204
295439,1992,61.11481431072443,-149.836968707602
295440,1991,61.11465192229757,-149.83699601683702
295442,1992,61.11439649469166,-149.836999723647
295443,1993,61.11440955596432,-149.83638695957498
295446,1999,61.11846817930197,-149.942721887925
295453,1997,61.1170432710296,-149.935949363856
295455,1994,61.11671134044297,-149.935338561814
295457,1997,61.11727526068017,-149.93615667525302
295567,1999,61.146107130326,-150.00590936736
295580,1990,61.198033790481055,-149.922305859616
295588,1999,61.10976637466054,-149.878544351166
295589,1999,61.10972367438457,-149.877957716803
295596,1992,61.18753383085075,-149.929774943796
295598,1994,61.215287395282274,-149.752649295304
295621,1999,61.22370181443106,-149.753798793128
295629,1999,61.22369943789781,-149.75155577388003
295636,1999,61.22369920620073,-149.75230825501103
295637,1999,61.22369920620073,-149.75230825501103
295643,1997,61.18464692819925,-149.94709711486502
295647,1997,61.18464692819925,-149.94709711486502
295648,1999,61.146215116888,-150.006351658867
295649,1998,61.185992999042206,-149.94993530469603
295655,1998,61.185992999042206,-149.94993530469603
295664,1999,61.151547144851,-149.998381197261
295665,1999,61.22369943789781,-149.75155577388003
295666,1999,61.22369943789781,-149.75155577388003
295668,1999,61.418322731831815,-149.44831634326903
295669,1999,61.18598806636521,-149.949462636014
295670,1999,61.18598806636521,-149.949462636014
295671,1998,61.18598703903463,-149.94895523396002
295674,1994,61.41374861488586,-149.444368507018
295675,1998,61.18598703903463,-149.94895523396002
295679,1999,61.1859913059626,-149.947975787099
295680,1999,61.22369943789781,-149.75155577388003
295685,1991,61.11005433983474,-149.879779635998
295697,1998,61.18601033271501,-149.947467558285
295698,1997,61.18598600131061,-149.94714098850102
295699,1997,61.18557516655579,-149.947118453502
295700,1997,61.18533195102008,-149.947122907075
295701,1997,61.18533195102008,-149.947122907075
295705,1997,61.185096576777205,-149.947123278673
295706,1997,61.185096576777205,-149.947123278673
295709,1997,61.18485727971542,-149.947123662502
295713,1997,61.18485727971542,-149.947123662502
295716,1999,61.22369943789781,-149.75155577388003
295728,1997,61.11158422799968,-149.88936876033003
295729,1996,61.10904873210704,-149.879272257086
295731,1994,61.10924459792111,-149.881360613921
295794,1999,61.18526223858655,-149.954330385653
295795,1999,61.18526223858655,-149.954330385653
295797,1990,61.19591834491897,-149.74686006964
295802,1999,61.18526041423358,-149.954705997888
295809,1999,61.20293846819683,-149.923829220631
295827,1998,61.127984277683375,-149.847233462816
295828,1998,61.12793599727674,-149.847738438394
295832,1999,61.22369879214943,-149.751190217366
295859,1999,61.14347680355282,-149.958387884451
295877,1991,61.13005005775422,-149.838263988387
295878,1991,61.13006831068044,-149.838502981037
295895,1996,61.18727979753312,-149.730022466197
295896,1999,61.12706172983276,-149.837644334355
295901,1997,61.18756988964282,-149.728706137302
295927,1997,61.13583116246448,-149.92263211258802
295938,1998,61.40335850304839,-149.43167048977202
295941,1999,61.22369879214943,-149.751190217366
295942,1997,61.18756951807944,-149.728523393086
295953,1998,61.221337713295846,-149.744576663498
295954,1997,61.20752580895013,-149.91169051409005
295960,1998,61.221337713295846,-149.744576663498
295975,1999,61.22369814541541,-149.750824660871
295976,1996,61.2073591033262,-149.911690306052
296005,1998,61.18508113827491,-149.954714097984
296006,1998,61.18508113827491,-149.954714097984
296007,1998,61.184682320299714,-149.954522822702
296020,1998,61.184682320299714,-149.954522822702
296029,1999,61.22369814541541,-149.750824660871
296051,1991,61.19369014897432,-149.755274520101
296059,1997,61.18701700938609,-149.73003388338302
296079,1997,61.1867355665156,-149.727305108948
296126,1998,61.13437558056421,-149.84678661378
296136,1990,61.13654873086229,-149.922626689578
296146,1998,61.18349471192358,-149.7777181527
296165,1993,61.15881448290456,-149.98987779374
296194,1994,61.21038388115147,-149.79504471110602
296226,1990,61.15789969462558,-150.002417434378
296263,1993,61.145199452830745,-149.926029713924
296282,1997,61.14712297445032,-149.922244227514
296283,1997,61.14692732453498,-149.922248308414
296286,1990,61.15021063864359,-149.956739666954
296288,1998,61.14301553131927,-149.94314025816
296298,1997,61.10318059763291,-149.73848932450102
296313,1998,61.14272487131628,-150.003923242994
296316,1995,61.21081724543488,-149.795050225789
296318,1997,61.186662809906565,-149.72743246579003
296319,1993,61.211087161534536,-149.71898705987903
296356,1997,61.1865880397389,-149.727539398146
296361,1991,61.14452976036886,-149.906337304916
296374,1992,61.185149900305895,-149.772682205658
296403,1997,61.18650742998544,-149.72768628242198
296414,1998,61.186369205348186,-149.727921462695
